public_sku,manufacturer_mpn,manufacturer,category,title,source_class,source_domain,response_status,http_status,content_type,pixel_width,pixel_height,file_size_bytes,duplicate_url_group,near_duplicate_url_group,duplicate_content_group,match_status,match_confidence,rights_status,approved_public_image_count,storefront_image_status,review_status,notes
KRA-22M,KRA-22M,Kenwood,Antennas & RF,UHF Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,66119,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
KRA-23M,KRA-23M,Kenwood,Antennas & RF,VHF Antenna,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,64907,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
56-200,56-200,Labor Saving Devices,Cable Management,Decoil-zit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,210666,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
81-000,81-000,Labor Saving Devices,Network Cabling & Connectors,Creepzit Pro 36FT Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,219982,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
81-130,81-130,Labor Saving Devices,Network Cabling & Connectors,Creep-zit Wire Running Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,612946,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
81-230,81-230,Labor Saving Devices,Network Cabling & Connectors,Connector Wire Rod Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,227979,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
81-600,81-600,Labor Saving Devices,Network Cabling & Connectors,Creepzit Compact 24FT Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,235704,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
81-700,81-700,Labor Saving Devices,Network Cabling & Connectors,Royrods Wire Running Kit,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,239477,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
82-110,82-110,Labor Saving Devices,Network Cabling & Connectors,Grabbit Mini 10 ft Pole,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,184567,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
82-118,82-118,Labor Saving Devices,Network Cabling & Connectors,18 ft Grabbit Pole,petra_supplier_feed,petraimages.com.s3.amazonaws.com,working,200,image/jpeg,600,600,193192,,,,exact_mpn_catalog_association_visual_review_pending,medium,approved,1,petra_csv_image,approved_by_petra_authorization,Petra authorized display of CSV-supplied product image URLs on telecomstore.net.
